id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10144,Al0.77Ge0.23Nb3,20.75 ,1970,10.1007/BF01407641,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10145,Al0.7Be0.3Nb3,14.00 ,1973,10.1109/TMAG.1972.1067344,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10146,Al0.7Ge0.3Nb3,19.90 ,1968,10.1007/BF01380012,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10147,Al0.81Ge0.19Nb3,17.60 ,,,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10148,Al0.83Ge0.17Nb3,19.60 ,1983,10.1002/pssa.2210770244,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10149,Al0.85B2Mg0.15,NaN,,10.1557/BF03548938,10209,hexagonal,P6/mmm,25.28,3.19,2.99,2.99,3.26,90,90,120
10150,Al0.8B0.2Nb3,17.80 ,1973,10.1109/TMAG.1972.1067344,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10151,Al0.8Be0.2Nb3,17.00 ,1973,10.1109/TMAG.1972.1067344,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10152,Al0.8Ca1Ga0.2Si1,5.60 ,2004,10.1016/j.physc.2004.02.175,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10153,Al0.8Ca1Si1.2,4.05 ,2002,10.1016/S0921-4534(02)02056-7,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10154,Al0.8Ga0.2Nb3,18.54 ,1968,10.1007/BF01380012,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10155,Al0.8Ge0.2Nb3,20.70 ,,,15798,cubic,Pm-3,140.1,7.79,5.19,5.19,5.19,90,90,90
10156,Al0.8In0.2Nb3,18.10 ,1968,10.1007/BF01380012,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10157,Al0.8Nb3Sn0.2,14.60 ,,,10130,cubic,Pm-3,146.51,7.97,5.27,5.27,5.27,90,90,90
